"ID","Dotknuté aktíva","Hodnota aktíva","Názov rizika","Opis rizika","Popis hrozby","Popis zraniteľnosti","Pravdepodobnosť (pred mitigáciou)","Následok (pred mitigáciou)","Úroveň závažnosti rizika (pred mitigáciou)","Navrhované opatrenia","Pravdepodobnosť (po mitigácii)","Následok (po mitigácii)","Úroveň závažnosti rizika (po mitigácii)"
"66","Používatelia","50000","Neohlásenie bezpečnostného incidentu","Politika síce definuje kanál na hlásenie, ale bez pravidelných školení a budovania kultúry si zamestnanci nemusia uvedomiť, čo je incident, alebo sa ho môžu báť nahlásiť.","Chyba pri používaní","Nedostatok postupov na hlásenie bezpečnostných nedostatkov","Stredná","Stredný","Stredné","Vytvoriť pozitívnu bezpečnostnú kultúru, kde je hlásenie incidentov podporované a nie trestané.","Nízka","Malý","Nízke"
"67","Systémový administrátor","90000","Neoprávnená zmena konfigurácie","Absencia formalizovaného a vynucovaného procesu change managementu pre všetky zmeny infraštruktúry.","Manipulácia s hardvérom","Nedostatok kontroly zmien","Stredná","Stredný","Stredné","Implementovať ITIL-based change management proces s povinným schvaľovaním a dokumentáciou všetkých zmien.","Nízka","Malý","Nízke"
"68","Notebook","1200","Infekcia ransomvérom","Kombinácia slabého povedomia používateľov a nedostatočnej ochrany interných serverov zvyšuje riziko úspešného ransomvérového útoku.","Odosielanie alebo distribúcia malvéru","Nedostatok školenie o bezpečnosti","Stredná","Závažný","Vysoké","Implementovať viacvrstvovú ochranu: EDR, segmentácia siete, nemenné zálohy a školenia.","Nízka","Stredný","Stredné"
"69","Softvér na správu databáz","5000","Poškodenie dát v databáze","Neobmedzený prístup a slabý audit umožňujú neoprávnenú alebo neúmyselnú modifikáciu kritických dát.","Poškodenie údajov","Nesprávne priradenie prístupových práv","Stredná","Závažný","Vysoké","Zaviesť prísne prístupové práva (napr. iba read-only kde je to možné) a zapnúť detailný audit prístupu k dátam.","Nízka","Stredný","Stredné"
"70","Domovy zamestnancov","0","Odpočúvanie komunikácie cez nezabezpečenú domácu sieť","Politika práce na diaľku nešpecifikuje požiadavky na zabezpečenie domácej siete zamestnanca.","Odpočúvanie","Nezabezpečené komunikačné linky","Stredná","Stredný","Stredné","Vyžadovať, aby sa firemné zariadenia pripájali cez VPN vždy, a poskytnúť zamestnancom návod na zabezpečenie ich domácich Wi-Fi sietí.","Nízka","Malý","Nízke"
"71","Špecifická podniková aplikácia","100000","Neplnenie požiadaviek GDPR","Politika zmieňuje GDPR, ale chýbajú procesy ako Data Protection Impact Assessment (DPIA) alebo správa žiadostí dotknutých osôb.","Porušenie zákonov alebo nariadení","Neoprávnené spracúvanie osobných údajov","Vysoká","Závažný","Vysoké","Vymenovať Data Protection Officera (DPO) a implementovať všetky procesy vyžadované GDPR.","Nízka","Stredný","Stredné"
"72","Marketingové oddelenie","60000","Poškodenie dobrého mena cez sociálne siete","Politika síce obmedzuje komunikáciu na marketing, ale chýbajú detailné pravidlá a schvaľovací proces pre príspevky.","Poškodenie reputácie","Nedostatok politiky pre používanie e-mailov","Nízka","Stredný","Stredné","Vytvoriť detailnú politiku pre komunikáciu na sociálnych sieťach vrátane schvaľovacieho workflow a krízového plánu.","Veľmi nízka","Malý","Veľmi nízke"
"73","Server","200000","Nesprávna reakcia na bezpečnostnú udalosť","Chýba synchronizácia času, čo sťažuje analýzu a môže viesť k nesprávnym záverom a neadekvátnej reakcii.","Chyba pri používaní","Nedostatok záznamov v administrátorských a operátorských logoch","Stredná","Stredný","Stredné","Zaviesť centrálnu a synchronizovanú správu logov (SIEM).","Veľmi nízka","Malý","Veľmi nízke"
"74","Periférne zariadenia","500","Útok cez USB zariadenie","Politika nerieši explicitne kontrolu používania vymeniteľných médií ako sú USB kľúče.","Odosielanie alebo distribúcia malvéru","Nekontrolované kopírovanie","Stredná","Stredný","Stredné","Technicky obmedziť používanie USB portov a vymeniteľných médií len na schválené a šifrované zariadenia.","Nízka","Malý","Nízke"
"75","Dodávateľ cloudových služieb","100000","Vendor lock-in pri cloudových službách","Organizácia využíva cloud, ale politika nerieši stratégiu pre prípadný odchod od poskytovateľa alebo jeho zlyhanie.","Zlyhanie poskytovateľov služieb","Nedostatok SLA (Service Level Agreement)","Nízka","Závažný","Stredné","Vytvoriť exit stratégiu pre každú kľúčovú cloudovú službu a preferovať multi-cloud alebo cloud-agnostic riešenia.","Veľmi nízka","Stredný","Nízke"
"76","Vedenie organizácie","1500000","Neschopnosť preukázať súlad (compliance)","Chýbajúce nezávislé audity a slabá dokumentácia niektorých procesov znemožňujú preukázať súlad s normami alebo reguláciami voči partnerom alebo úradom.","Porušenie zákonov alebo nariadení","Nedostatok pravidelných auditov","Stredná","Stredný","Stredné","Zaviesť program interného auditu a udržiavať komplexnú dokumentáciu ISMS.","Nízka","Malý","Nízke"
"77","Špecifická podniková aplikácia","100000","Narušenie súkromia používateľov (PII)","Politika nerieši techniky na ochranu súkromia, ako je anonymizácia alebo pseudonymizácia (data masking), najmä v neprodukčných prostrediach.","Neoprávnené spracúvanie osobných údajov","Nedostatok postupu monitorovania zariadení na spracovanie informácií","Stredná","Závažný","Vysoké","Implementovať techniky pseudonymizácie pre všetky osobné údaje používané vo vývojovom a testovacom prostredí.","Nízka","Stredný","Stredné"
"78","Hardvér","1000","Zlyhanie hardvéru v dôsledku nedostatočnej údržby","Politika nespomína proaktívnu údržbu hardvéru a plánovanú obmenu.","Porucha zariadenia alebo systému","Nedostatok pravidelného plánu výmeny","Nízka","Stredný","Stredné","Zaviesť plán preventívnej údržby a životného cyklu pre kľúčovú hardvérovú infraštruktúru.","Veľmi nízka","Malý","Veľmi nízke"
"79","Softvér","100000","Porušenie licencií na softvér","Chýba proces na správu softvérových licencií, čo môže viesť k právnym a finančným postihom.","Porušenie zákonov alebo nariadení","Nedostatok postupov na zabezpečenie zhody s právami duševného vlastníctva","Nízka","Stredný","Stredné","Implementovať proces a nástroj na správu softvérových aktív a licencií (SAM).","Veľmi nízka","Malý","Veľmi nízke"
"80","Cabling","2000","Fyzické poškodenie kabeláže","Vzhľadom na nejasnú fyzickú bezpečnosť nie je isté, či je kabeláž chránená pred poškodením alebo neoprávnenou manipuláciou.","Manipulácia s hardvérom","Zlá spoločná kabeláž","Nízka","Stredný","Stredné","Zabezpečiť, aby všetka kritická sieťová a napájacia kabeláž bola vedená v chránených trasách.","Veľmi nízka","Malý","Veľmi nízke"
"81","Switch","5000","Neautorizovaný odpočúvanie sieťovej prevádzky (sniffing)","Nedostatočná fyzická ochrana umožňuje útočníkovi pripojiť zariadenie na odpočúvanie siete priamo na switch.","Odpočúvanie","Nedostatočná fyzická ochrana budovy, dverí a okien","Nízka","Závažný","Stredné","Implementovať port security na switchoch a zabezpečiť fyzický prístup k sieťovým zariadeniam.","Veľmi nízka","Stredný","Nízke"
"82","Projektový manažment","80000","Nedostatočné testovanie bezpečnosti v projektoch","Hoci sa spomína penetračné testovanie, nie je to formalizované ako povinná brána (gate) pred každým nasadením do produkcie.","Chybné plánovanie a nedostatky v adaptácii","Žiadne alebo nedostatočné testovanie softvéru","Stredná","Stredný","Stredné","Formalizovať bezpečnostné testovanie ako povinnú súčasť 'Definition of Done' pre všetky zmeny.","Nízka","Malý","Nízke"
"83","Externý dodávateľ","50000","Únik dát cez dodávateľa","Politika nerieši detailne bezpečnostné požiadavky pre dodávateľský reťazec (supply chain), napr. požiadavky na ich vývojárov.","Zlyhanie poskytovateľov služieb","Nedostatok alebo nedostatočné ustanovenia (týkajúce sa bezpečnosti) v zmluvách so zákazníkmi","Stredná","Závažný","Vysoké","Zaviesť podrobné bezpečnostné dotazníky a zmluvné doložky pre všetkých dodávateľov s prístupom k dátam alebo systémom.","Nízka","Stredný","Stredné"
"84","Používatelia","50000","Nesprávne zaobchádzanie s klasifikovanými informáciami","Politika síce definuje klasifikáciu, ale chýbajú detailné postupy a školenia, ako s jednotlivými typmi informácií narábať v praxi.","Zverejňovanie informácií","Nedostatok postupu monitorovania zariadení na spracovanie informácií","Stredná","Stredný","Stredné","Vytvoriť a komunikovať detailné príručky pre zaobchádzanie s informáciami podľa ich klasifikácie.","Nízka","Malý","Nízke"
"85","Vedenie organizácie","1500000","Neukončenie prístupov po odchode zamestnanca","Proces offboardingu sa spolieha na nadriadeného, chýba kontrolný mechanizmus, ktorý by overil, že všetky prístupy boli skutočne odobraté.","Zneužitie práv alebo povolení","Nedostatok formálneho postupu pre registráciu a zrušenie registrácie používateľov","Stredná","Závažný","Vysoké","Implementovať automatizovaný offboarding proces prepojený s HR systémom a zaviesť pravidelnú kontrolu neaktívnych účtov.","Nízka","Stredný","Stredné"
"86","Server","200000","Nedostatočné logovanie udalostí","Politika spomína logovanie, ale nešpecifikuje, čo všetko sa má logovať a ako dlho sa logy majú uchovávať, čo sťažuje vyšetrovanie.","Popretie","Nedostatok audítorského záznamu","Stredná","Stredný","Stredné","Definovať politiku logovania, ktorá špecifikuje zdroje logov, typy udalostí, formát a dĺžku retencie.","Nízka","Malý","Nízke"
"87","Sieť","50000","Neschopnosť detegovať anomálie v sieti","Politika spomína monitoring, ale nie je jasné, či zahŕňa behaviorálnu analýzu na detekciu neobvyklých aktivít.","Vzdialené špehovanie","Nedostatok monitorovacích mechanizmov","Stredná","Stredný","Stredné","Nasadiť nástroje na analýzu sieťovej prevádzky (NTA) na detekciu anomálií a potenciálnych hrozieb.","Nízka","Malý","Nízke"
"88","Špecifická podniková aplikácia","100000","Používanie zastaraných kryptografických algoritmov","Chýbajúca politika pre kryptografiu môže viesť k tomu, že aplikácie používajú slabé alebo prelomené šifrovacie algoritmy a protokoly.","Odpočúvanie","Nezabezpečená citlivá komunikácia","Stredná","Závažný","Vysoké","Definovať štandardy pre používanú kryptografiu (napr. povolené verzie TLS, šifrovacie sady) a pravidelne ich revidovať.","Nízka","Stredný","Stredné"
"89","Vedenie organizácie","1500000","Nezvládnutie krízovej komunikácie","V pláne riadenia incidentov chýba časť venovaná krízovej komunikácii s klientmi, verejnosťou a regulátormi.","Poškodenie reputácie","Nedostatok dokumentácie","Nízka","Závažný","Stredné","Vypracovať plán krízovej komunikácie ako súčasť plánu riadenia incidentov.","Veľmi nízka","Stredný","Nízke"
"90","Personál","50000","Nespokojný zamestnanec ako vnútorná hrozba","Chýbajúci disciplinárny proces a slabé monitorovanie môžu zvýšiť riziko sabotáže alebo krádeže dát nespokojným zamestnancom.","Sabotáž","Nedostatok definovaných disciplinárnych postupov v prípade incidentu informačnej bezpečnosti","Nízka","Závažný","Stredné","Implementovať monitoring správania používateľov (UBA) a jasne komunikovať disciplinárny proces za porušenie bezpečnosti.","Veľmi nízka","Stredný","Nízke"
"91","Router","5000","Nebezpečná konfigurácia sieťových zariadení","Chýba proces správy konfigurácií a baseline, čo môže viesť k tomu, že sieťové zariadenia majú povolené nebezpečné služby alebo predvolené heslá.","Prístup neoprávneného používateľa k sieti","Nesprávne nastavenie parametrov","Stredná","Závažný","Vysoké","Vytvoriť a aplikovať bezpečné konfiguračné štandardy (hardening guides) pre všetky sieťové zariadenia.","Nízka","Stredný","Stredné"
"92","Softvér","100000","Nebezpečné komponenty tretích strán v softvéri","Politika pre bezpečný vývoj nerieši explicitne správu zraniteľností v knižniciach a komponentoch tretích strán.","Manipulácia so softvérom","Známe chyby v softvéri","Stredná","Závažný","Vysoké","Implementovať nástroje na analýzu softvérového zloženia (SCA) a proces na správu zraniteľností v závislostiach.","Nízka","Stredný","Stredné"
"93","Periférne zariadenia","500","Zneužitie multifunkčného zariadenia na odoslanie dát","Moderné multifunkčné zariadenia sa môžu pripojiť na internet a odosielať naskenované dokumenty, čo predstavuje kanál na únik dát.","Zverejňovanie informácií","Nepotrebné služby aktivované","Nízka","Stredný","Stredné","Obmedziť sieťovú komunikáciu multifunkčných zariadení len na nevyhnutné interné služby a zakázať prístup na internet.","Veľmi nízka","Malý","Veľmi nízke"
"94","Elektronická pošta","10000","Nedostatočná ochrana pred spoofingom a phishingom","V politike chýba zmienka o implementácii štandardov ako SPF, DKIM a DMARC na ochranu firemnej domény.","Sociálne inžinierstvo","Nedostatok politiky pre používanie e-mailov","Vysoká","Stredný","Vysoké","Implementovať a vynútiť politiky SPF, DKIM a DMARC pre všetky odchádzajúce e-maily.","Nízka","Stredný","Stredné"
"95","Špecifická podniková aplikácia","100000","Nedostatočná redundancia aplikácie","Politika nespomína požiadavky na redundanciu pre kritické aplikácie, čo môže viesť k dlhým výpadkom.","Porucha zariadenia alebo systému","Jediné miesto zlyhania","Stredná","Závažný","Vysoké","Analyzovať kritickosť aplikácií a pre tie najdôležitejšie implementovať high-availability (HA) alebo failover riešenia.","Nízka","Stredný","Stredné"
"96","Zálohy","10000","Nefunkčné zálohy","Politika nariaďuje zálohovanie, ale nešpecifikuje povinnosť pravidelne testovať obnovu zo záloh.","Zhoršovanie stavu pamäťových médií","Nedostatok záložných kópií","Stredná","Katastrofický","Vysoké","Zaviesť povinné a pravidelné testovanie obnovy dát zo záloh a dokumentovať výsledky.","Nízka","Závažný","Stredné"
"97","Vedenie organizácie","1500000","Nedostatočné zapojenie manažmentu do bezpečnosti","V politike chýba zmienka o pravidelnom reporte o stave bezpečnosti pre vrcholový manažment, čo môže viesť k nedostatočnej podpore a zdrojom.","Chybné plánovanie a nedostatky v adaptácii","Nedostatok pravidelných manažérskych prehliadok","Stredná","Stredný","Stredné","Zaviesť pravidelný (napr. štvrťročný) reporting o stave informačnej bezpečnosti pre vedenie spoločnosti.","Nízka","Malý","Nízke"
"98","Personál","50000","Zneužitie informácií po odchode zo zamestnania","Mlčanlivosť je síce spomenutá, ale nie sú definované žiadne kontroly alebo opatrenia na jej presadzovanie po odchode zamestnanca.","Krádež identity","Nedostatočné ustanovenia (o bezpečnosti) v zmluvách so zamestnancami","Nízka","Stredný","Stredné","Pri odchode kľúčových zamestnancov vykonať pohovor zameraný na pripomenutie povinnosti mlčanlivosti a monitorovať ich aktivity v prechodnom období.","Veľmi nízka","Malý","Veľmi nízke"
"99","Bezdrôtové protokoly (napr. WiFi 802.11)","5000","Útok typu 'Evil Twin'","Používatelia nemusia byť dostatočne vyškolení na rozpoznanie falošných Wi-Fi prístupových bodov, najmä pri práci na diaľku alebo na cestách.","Sociálne inžinierstvo","Nedostatok školenie o bezpečnosti","Stredná","Stredný","Stredné","Používať VPN, ktorá automaticky zabezpečí všetku komunikáciu, a školiť používateľov o rizikách pripájania sa k neznámym Wi-Fi sieťam.","Nízka","Malý","Nízke"
"100","Operačný systém","2000","Používanie privilegovaných účtov na bežnú prácu","Politika nerieši oddelenie administrátorských a bežných používateľských účtov, čo zvyšuje riziko pri kompromitácii.","Zneužitie práv alebo povolení","Nedostatok formálneho postupu pre registráciu a zrušenie registrácie používateľov","Stredná","Závažný","Vysoké","Zaviesť politiku, podľa ktorej administrátori používajú na bežnú prácu neprivilegovaný účet a privilegovaný účet len v prípade potreby.","Nízka","Stredný","Stredné"
"101","Softvér na správu databáz","5000","SQL Injection útok","Politika bezpečného vývoja síce existuje, ale riziko ako SQL Injection je stále prítomné, ak nie sú dôsledne aplikované a kontrolované bezpečné kódovacie praktiky.","Manipulácia so softvérom","Známe chyby v softvéri","Stredná","Katastrofický","Vysoké","Vynucovať používanie parametrizovaných dopytov (prepared statements) a pravidelne vykonávať dynamické testovanie aplikácií (DAST) zamerané na injection útoky.","Nízka","Závažný","Stredné"
"102","Notebook","1200","Strata dôverných informácií pri strate nešifrovaného notebooku","Politika neuvádza povinné šifrovanie pevných diskov na všetkých notebookoch.","Krádež zariadenia","Nedostatok kontroly nad majetkom mimo priestorov spoločnosti","Stredná","Závažný","Vysoké","Implementovať a vynútiť povinné šifrovanie diskov (napr. BitLocker, FileVault) na všetkých prenosných zariadeniach.","Veľmi nízka","Zanedbateľný","Veľmi nízke"
"103","Vedenie organizácie","1500000","Neefektívne riadenie bezpečnostných incidentov","Procesy sú síce definované, ale chýba ich pravidelné precvičovanie, čo môže v reálnej situácii viesť k chaosu a zlej reakcii.","Chybné plánovanie a nedostatky v adaptácii","Nedostatok dokumentácie","Nízka","Závažný","Stredné","Pravidelne organizovať cvičenia na riešenie simulovaných incidentov (table-top, a technické cvičenia) pre bezpečnostný tím a manažment.","Veľmi nízka","Stredný","Nízke"
"104","Špecifická podniková aplikácia","100000","Neautorizovaný prístup k API rozhraniam","Politika sa zameriava na prístup používateľov, ale explicitne nerieši zabezpečenie API rozhraní, ktoré môžu byť vystavené do internetu.","Prístup neoprávneného používateľa k sieti","Slabá sieťová architektúra","Stredná","Závažný","Vysoké","Implementovať robustnú autentifikáciu a autorizáciu pre všetky API (napr. OAuth 2.0) a nasadiť API gateway na ich ochranu.","Nízka","Stredný","Stredné"
"105","Hardvér","1000","Environmentálne poškodenie zariadenia","Vzhľadom na nejasné fyzické umiestnenie, zariadenia môžu byť vystavené prachu alebo korózii, čo skracuje ich životnosť.","Prach, korózia, mrazy","Citlivosť na vlhkosť, prach, znečistenie","Nízka","Stredný","Stredné","Zabezpečiť umiestnenie kritickej infraštruktúry v prostredí s kontrolovanou teplotou, vlhkosťou a čistotou vzduchu.","Veľmi nízka","Malý","Veľmi nízke"
